,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,3.3333125468515945,8502.001953125,5547.05859375,-2217.272216796875,eta_1,0,4.502694609096037,9603.6025390625,5547.05859375,-3618.234619140625,eta_3_bot,0,1.4408710522177255,2940.3,5600.0,-3750.65,bot,0,1.9736369452262272,6690.600000000001,231.0,0.0,top,0,2.532633585566775,9603.6025390625,5547.05859375,-3618.234619140625,eta_y_bot_stresses,0
0,6.133847408738469,971.3613891601562,88.50931549072266,-1561.7652587890625,eta_4,0,8.279588698901886,169.46141052246094,88.50931549072266,-1561.7652587890625,eta_3_bot,0,2.3178328914794752,2806.65,5528.571428571428,-3750.6499999999996,bot,0,2.957961724560636,1202.85,0.0,-1429.35,bot,0,4.405891640276603,169.46141052246094,88.50931549072266,-1561.7652587890625,eta_y_bot_stresses,1
0,14.449734801231955,169.46141052246094,2532.52197265625,-1066.6666259765625,eta_1,0,16.457178914869253,169.46141052246094,124.13793182373047,-1393.869384765625,eta_3_bot,0,4.101172070585428,8480.7,5457.142857142857,-3521.3,bot,0,4.611786635941603,400.95,0.0,-1658.7,bot,0,8.486422863061252,169.46141052246094,124.13793182373047,-1393.869384765625,eta_y_bot_stresses,2
0,14.006727896193372,225.94854736328125,1970.7689208984375,-1090.9090576171875,eta_1,0,19.414261379762173,225.94854736328125,159.79591369628906,-1393.869384765625,eta_3_bot,0,5.300145274950447,534.5999999999999,0.0,-1658.7,bot,0,5.300145274950447,534.5999999999999,0.0,-1658.7,bot,0,9.963757963916663,225.94854736328125,159.79591369628906,-1923.530517578125,eta_y_bot_stresses,3
0,15.235457751197734,225.94854736328125,1944.6309814453125,-1107.6922607421875,eta_1,0,23.68494534395304,225.94854736328125,195.4703826904297,-1393.869384765625,eta_3_bot,0,5.437486423544345,534.6,438.42857142857156,0.0,bot,0,6.028788709982107,534.5999999999999,0.0,-1658.7,bot,0,12.097941694889466,225.94854736328125,195.4703826904297,-1923.530517578125,eta_y_bot_stresses,4
0,18.801625757227583,338.9228210449219,3324.36328125,-1114.2857666015625,eta_1,0,28.589846361064595,338.9228210449219,231.15501403808594,-1923.530517578125,eta_3_bot,0,6.17844867778854,801.9000000000001,432.5357142857143,0.0,bot,0,6.929960566988445,801.9,0.0,-1658.7,bot,0,14.549459138309528,338.9228210449219,231.15501403808594,-1923.530517578125,eta_y_bot_stresses,5
0,26.790551545692168,338.9228210449219,3093.287353515625,-1125.0,eta_1,0,39.77523046150645,338.9228210449219,266.84637451171875,-1923.530517578125,eta_3_bot,0,8.733247082155204,801.9,0.0,-1658.7,bot,0,8.733247082155204,801.9,0.0,-1658.7,bot,0,20.140883190987047,338.9228210449219,266.84637451171875,-1923.530517578125,eta_y_bot_stresses,6
0,29.76185394327603,338.9228210449219,3050.562744140625,-1133.3333740234375,eta_1,0,46.331152095705036,338.9228210449219,302.5423583984375,-1923.530517578125,eta_3_bot,0,9.729341682726506,801.9,0.0,-1658.7,bot,0,9.729341682726506,801.9,0.0,-1658.7,bot,0,22.06347113857589,1264.877197265625,2049.437255859375,-1133.3333740234375,eta_y_top_stresses,7
0,32.809331595784094,338.9228210449219,3007.837890625,-1140.0,eta_1,0,53.51390265176957,338.9228210449219,338.24176025390625,-1923.530517578125,eta_3_bot,0,10.785281489474487,801.9,0.0,-1658.7,bot,0,10.785281489474487,801.9,0.0,-1658.7,bot,0,22.499874571296793,1264.877197265625,2020.734130859375,-1140.0,eta_y_top_stresses,8
0,36.7871770393494,338.9228210449219,2965.113037109375,-1145.45458984375,eta_1,0,61.90895745156935,338.9228210449219,373.94366455078125,-1923.530517578125,eta_3_bot,0,11.98195484554234,8893.8,0.0,-1658.7,bot,0,11.98195484554234,8893.8,0.0,-1658.7,bot,0,23.35466459322695,1264.877197265625,1992.030029296875,-1145.45458984375,eta_y_top_stresses,9
0,39.92179650053914,338.9228210449219,2922.38818359375,-1147.8260498046875,eta_1,0,70.36308360831389,338.9228210449219,409.6474914550781,-1923.530517578125,eta_3_bot,0,10.976173470648835,5613.300000000001,806.1428571428571,0.0,bot,0,13.15067228145825,8893.8,0.0,-1658.7,bot,0,24.0985522789607,1264.877197265625,1963.3267822265625,-1147.8260498046875,eta_y_top_stresses,10
0,41.33441461115888,338.9228210449219,1934.62255859375,-1104.0,eta_1,0,77.8538279409654,338.9228210449219,445.35284423828125,-1923.530517578125,eta_3_bot,0,9.14824699646912,801.9000000000001,794.3571428571428,0.0,bot,0,121.38898025362623,4009.5000000000005,2407.142857142857,0.0,top,0,39.180630351987354,338.9228210449219,445.35284423828125,-1923.530517578125,eta_y_bot_stresses,11
0,45.899179360888155,338.9228210449219,2836.937744140625,-1111.111083984375,eta_1,0,88.6468869248555,338.9228210449219,481.05938720703125,-1923.530517578125,eta_3_bot,0,9.220613486046608,801.9000000000001,782.5714285714287,0.0,bot,0,113.6079566274588,4009.5000000000005,2371.4285714285716,0.0,top,0,44.574889243079504,338.9228210449219,481.05938720703125,-1923.530517578125,eta_y_bot_stresses,12
0,58.48324167057964,9021.61328125,1877.21533203125,-1117.2413330078125,eta_1,0,103.33999681533841,9021.61328125,516.7669067382812,-1393.869384765625,eta_3_bot,0,10.408958761195734,8067.6,770.7857142857143,0.0,bot,0,167.3548827804667,1603.8000000000002,2335.714285714286,0.0,top,0,51.9835027706525,9021.61328125,516.7669067382812,-1393.869384765625,eta_y_bot_stresses,13
0,62.13207897813893,9021.61328125,1848.5120849609375,-1120.0,eta_1,0,114.18117570329201,9021.61328125,2751.48779296875,-1120.0,eta_3_top,0,10.557070998872637,8067.6,759.0,0.0,bot,0,173.56876915798648,1603.8000000000002,2300.0,0.0,top,0,57.39982583530111,9021.61328125,1848.5120849609375,-1120.0,eta_y_top_stresses,14
