,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,4.822130947416872,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,31.966531984452015,9487.2041015625,5247.05859375,-2986.130615234375,eta_3_bot,0,5.503874203654844,9169.199999999999,5400.0,-2721.3,bot,0,10.469458079450607,534.6,445.5,0.0,bot,0,16.242519131070658,9487.2041015625,5247.05859375,-2986.130615234375,eta_y_bot_stresses,0
0,4.679598868748114,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,31.893187054247026,9487.2041015625,5247.05859375,-2986.130615234375,eta_3_bot,0,5.476358403658367,9169.199999999999,5400.0,-2721.3,bot,0,9.850605197009408,534.6,445.5,0.0,bot,0,16.205740932699804,9487.2041015625,5247.05859375,-2986.130615234375,eta_y_bot_stresses,1
0,4.544012642003845,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,31.701119978373693,5120.05126953125,702.7095336914062,-352.941162109375,eta_3_bot,0,5.4456555689726445,9169.199999999999,5400.0,-2721.3,bot,0,9.299991311511603,534.6,445.5,0.0,bot,0,16.109607071989412,5120.05126953125,702.7095336914062,-352.941162109375,eta_y_bot_stresses,2
0,4.414918908003599,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,30.4865752288701,5120.05126953125,702.7095336914062,-352.941162109375,eta_3_bot,0,5.413725094235587,9169.199999999999,5400.0,-2721.3,bot,0,8.802626181684111,534.6,445.5,0.0,bot,0,15.499133334134838,225.94854736328125,188.2904510498047,-352.941162109375,eta_y_bot_stresses,3
0,4.295282092770995,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,29.345780646519547,5120.05126953125,702.7095336914062,-352.941162109375,eta_3_bot,0,5.381764422542812,9169.199999999999,5400.0,-2721.3,bot,0,8.35164298168511,534.6,445.5,0.0,bot,0,14.931404742158078,5120.05126953125,702.7095336914062,-352.941162109375,eta_y_bot_stresses,4
0,4.183424383031546,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,28.304456342813566,5571.94873046875,188.2904510498047,-352.941162109375,eta_3_bot,0,5.349282474572762,9169.199999999999,5400.0,-2721.3,bot,0,7.93897752251908,534.6,445.5,0.0,bot,0,14.407533627823353,225.94854736328125,188.2904510498047,-352.941162109375,eta_y_bot_stresses,5
0,4.0770406964236106,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,27.3163315445611,225.94854736328125,188.2904510498047,-352.941162109375,eta_3_bot,0,5.316517263840863,9169.199999999999,5400.0,-2721.3,bot,0,7.560579531393393,534.6,445.5,0.0,bot,0,13.912844578611617,225.94854736328125,188.2904510498047,-352.941162109375,eta_y_bot_stresses,6
0,3.9757067858055275,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,26.383724180481483,225.94854736328125,188.2904510498047,-352.941162109375,eta_3_bot,0,5.28413412827092,9169.199999999999,5400.0,-2721.3,bot,0,7.212685572453544,534.6,445.5,0.0,bot,0,13.44670912345859,225.94854736328125,188.2904510498047,-352.941162109375,eta_y_bot_stresses,7
0,3.8788987178097267,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,25.508336156179617,225.94854736328125,188.2904510498047,-352.941162109375,eta_3_bot,0,5.252141943832726,9169.199999999999,5400.0,-2721.3,bot,0,6.891356914206883,534.6,445.5,0.0,bot,0,13.009186217599172,225.94854736328125,188.2904510498047,-352.941162109375,eta_y_bot_stresses,8
0,3.7864767491025924,225.94854736328125,702.7095336914062,-352.941162109375,eta_4,0,24.68315266315717,225.94854736328125,188.2904510498047,-352.941162109375,eta_3_bot,0,5.220246379777075,9169.199999999999,5400.0,-2721.3,bot,0,6.5940373582932725,534.6,445.5,0.0,bot,0,12.596763436813044,225.94854736328125,188.2904510498047,-352.941162109375,eta_y_bot_stresses,9
