,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,5.763005317225975,2189.211669921875,2227.558837890625,-350.0,eta_2,0,12.013766415428087,2189.211669921875,1756.4410400390625,-350.0,eta_3_top,0,1.763996639972745,2475.0,396.0,0.0,bot,0,2.9654447373173785,2475.0,4404.0,0.0,bot,0,6.272936056739377,2189.211669921875,1756.4410400390625,-350.0,eta_y_top_stresses,0
0,6.819519096340648,2189.211669921875,2227.558837890625,-354.28570556640625,eta_2,0,12.46536974124547,2189.211669921875,1756.4410400390625,-354.28570556640625,eta_3_top,0,1.7853351257998684,2475.0,396.0,0.0,bot,0,2.997514434361936,2475.0,4404.0,0.0,bot,0,6.49797079242189,2189.211669921875,1756.4410400390625,-354.28570556640625,eta_y_top_stresses,1
0,7.886653029716901,2189.211669921875,2227.558837890625,-352.941162109375,eta_2,0,12.455119313411757,2189.211669921875,1756.4410400390625,-352.941162109375,eta_3_top,0,1.7716402017473882,2475.0,396.0,0.0,bot,0,2.9785816929419746,2475.0,4404.0,0.0,bot,0,6.492531006400882,2189.211669921875,1756.4410400390625,-352.941162109375,eta_y_top_stresses,2
0,8.064580330823366,5159.21142578125,2227.558837890625,-352.941162109375,eta_3,0,12.53173793222926,2189.211669921875,1756.4410400390625,-352.941162109375,eta_3_top,0,1.7749254115067286,2475.0,396.0,0.0,bot,0,2.9849723623060105,2475.0,4404.0,0.0,bot,0,6.530511653868318,2189.211669921875,1756.4410400390625,-352.941162109375,eta_y_top_stresses,3
0,8.03667383739393,5159.21142578125,2227.558837890625,-352.941162109375,eta_3,0,12.602230317598979,2189.211669921875,1756.4410400390625,-352.941162109375,eta_3_top,0,1.7780499672029166,2475.0,396.0,0.0,bot,0,2.991061444711731,2475.0,4404.0,0.0,bot,0,6.565528263429855,2189.211669921875,1756.4410400390625,-352.941162109375,eta_y_top_stresses,4
0,8.009128378214951,5159.21142578125,2227.558837890625,-352.941162109375,eta_3,0,12.669000347238706,2189.211669921875,1756.4410400390625,-352.941162109375,eta_3_top,0,1.781151529679154,2475.0,396.0,0.0,bot,0,2.9969261818618174,2475.0,4404.0,0.0,bot,0,6.598710475959864,2189.211669921875,1756.4410400390625,-352.941162109375,eta_y_top_stresses,5
0,7.982072194181245,5159.21142578125,2227.558837890625,-352.941162109375,eta_3,0,12.73148156723286,2189.211669921875,1756.4410400390625,-352.941162109375,eta_3_top,0,1.784128253066519,2475.0,396.0,0.0,bot,0,3.0026039230393997,2475.0,4404.0,0.0,bot,0,6.629785436076967,2189.211669921875,1756.4410400390625,-352.941162109375,eta_y_top_stresses,6
0,7.955864821557992,5159.21142578125,2227.558837890625,-352.941162109375,eta_3,0,12.790213539005702,2189.211669921875,1756.4410400390625,-352.941162109375,eta_3_top,0,1.7870252464316756,2475.0,396.0,0.0,bot,0,3.0080715232361377,2475.0,4404.0,0.0,bot,0,6.659011124906783,2189.211669921875,1756.4410400390625,-352.941162109375,eta_y_top_stresses,7
0,7.943247416011918,5159.21142578125,2227.558837890625,-352.941162109375,eta_3,0,12.77989864637489,2189.211669921875,1756.4410400390625,-352.941162109375,eta_3_top,0,1.7826703212202315,2475.0,396.0,0.0,bot,0,2.998849524388869,2475.0,4404.0,0.0,bot,0,6.653986672186889,2189.211669921875,1756.4410400390625,-352.941162109375,eta_y_top_stresses,8
0,7.918307681632343,5159.21142578125,2227.558837890625,-352.941162109375,eta_3,0,12.814017944236967,2189.211669921875,167.36929321289062,-352.941162109375,eta_3_bot,0,1.7850448182729726,2475.0,396.0,0.0,bot,0,3.003291582697471,2475.0,4404.0,0.0,bot,0,6.673018344356167,2189.211669921875,167.36929321289062,-352.941162109375,eta_y_bot_stresses,9
