,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,1.0065651083116451,75.3161849975586,281.0838317871094,-352.941162109375,eta_4,0,3.617535025712489,75.3161849975586,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2704294710509629,178.20000000000005,178.20000000000005,0.0,bot,13,0.43762338879713336,178.20000000000002,5221.8,0.0,bot,5,2.105899259606106,75.3161849975586,281.0838317871094,-352.941162109375,eta_y_bot_stresses,0
0,1.0043107590050464,75.3161849975586,281.0838317871094,-352.941162109375,eta_4,0,3.484421582931234,75.3161849975586,75.3161849975586,-352.941162109375,eta_3_bot,0,0.25563513207036576,178.20000000000005,178.20000000000005,0.0,bot,15,0.4168223188213388,178.20000000000002,5221.8,0.0,bot,6,2.0417088851736884,75.3161849975586,281.0838317871094,-352.941162109375,eta_y_bot_stresses,1
0,1.0137494087160592,75.3161849975586,75.3161849975586,-352.941162109375,eta_4,0,4.104206840221629,788.1162109375,75.3161849975586,-352.941162109375,eta_3_bot,0,0.46837636251932824,1247.4,178.20000000000005,0.0,bot,17,0.7835622972359307,178.20000000000002,5221.8,0.0,bot,6,2.3628982190260817,788.1162109375,75.3161849975586,-352.941162109375,eta_y_bot_stresses,2
0,1.0278813887206142,2213.716064453125,75.3161849975586,-352.941162109375,eta_4,0,5.082753412985439,2063.083740234375,281.0838317871094,-352.941162109375,eta_3_bot,0,0.6755582023010374,2316.6000000000004,178.20000000000005,0.0,bot,8,1.2417971336919778,2316.6000000000004,5221.8,0.0,bot,0,2.8455259278667473,2213.716064453125,75.3161849975586,-352.941162109375,eta_y_bot_stresses,3
0,1.0263223853669494,2926.51611328125,75.3161849975586,-352.941162109375,eta_4,0,4.983751319358852,2775.8837890625,281.0838317871094,-352.941162109375,eta_3_bot,0,0.6469180434609801,3029.4000000000005,178.20000000000005,0.0,bot,9,1.1921281332120706,3029.4000000000005,5221.8,0.0,bot,0,2.786359246668175,2926.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses,4
0,1.0330174075589658,3639.316162109375,75.3161849975586,-352.941162109375,eta_4,0,5.441842379858062,3488.683837890625,281.0838317871094,-352.941162109375,eta_3_bot,0,0.7524785840071789,3742.2000000000007,178.20000000000005,0.0,bot,8,1.3485692055382759,3742.2000000000007,5221.8,0.0,bot,0,3.0037274292169487,3639.316162109375,75.3161849975586,-352.941162109375,eta_y_bot_stresses,5
0,1.0290825171863864,4201.48388671875,75.3161849975586,-352.941162109375,eta_4,0,5.19019558666877,4201.48388671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.6910887896791341,4098.6,178.20000000000005,0.0,bot,9,1.2516694392004337,4098.6,5221.8,0.0,bot,0,2.874505708424216,4201.48388671875,75.3161849975586,-352.941162109375,eta_y_bot_stresses,6
0,1.0345562227855045,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.530146629349159,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7713922342447652,4811.400000000001,178.20000000000005,0.0,bot,7,1.3784886889144525,4811.400000000001,5221.8,0.0,bot,0,3.0399477354440756,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses,7
0,1.0288944375675289,5421.31640625,75.3161849975586,-352.941162109375,eta_4,0,5.175610333223876,5421.31640625,75.3161849975586,-352.941162109375,eta_3_bot,0,0.6879179768332429,5524.200000000001,178.20000000000005,0.0,bot,9,1.2483578511205,5524.200000000001,5221.8,0.0,bot,0,2.8667033083912123,5421.31640625,75.3161849975586,-352.941162109375,eta_y_bot_stresses,8
0,1.0326597047739787,5983.48388671875,75.3161849975586,-352.941162109375,eta_4,0,5.421924889199612,6134.1162109375,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7475849780923234,5880.6,178.20000000000005,0.0,bot,8,1.3432626535215064,5880.600000000001,5221.8,0.0,bot,0,2.9927818703540567,5983.48388671875,75.3161849975586,-352.941162109375,eta_y_bot_stresses,9
