,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,1.0402904824864179,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.2159504088434443,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.5943877655137118,9169.2,445.5,0.0,bot,4,0.5943877655137118,9169.2,445.5,0.0,bot,4,1.904018183826093,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,0
0,1.0620311360128711,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.357438646445534,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.6314409027123561,9169.2,445.5,0.0,bot,2,0.6314409027123561,9169.2,445.5,0.0,bot,2,1.9724805424117404,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,1
0,1.0927067026090687,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.4987344858811853,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.6664330402992661,9169.2,445.5,0.0,bot,2,0.6664330402992661,9169.2,445.5,0.0,bot,2,2.0410655708912473,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,2
0,1.1257540225650924,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.6347591798202896,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.7030280754778875,9169.2,445.5,0.0,bot,2,0.7030280754778875,9169.2,445.5,0.0,bot,2,2.1072667684093633,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,3
0,1.1578611609400913,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.7675820960854787,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.7392491702196512,9169.2,445.5,0.0,bot,2,0.7392491702196512,9169.2,445.5,0.0,bot,2,2.1720554034900843,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,4
0,1.188887378378535,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.8969512099354415,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.774916772266927,9169.2,445.5,0.0,bot,2,0.774916772266927,9169.2,445.5,0.0,bot,2,2.2352813779755287,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,5
0,1.2188236885371,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.022589231156291,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8099155545235683,9169.2,445.5,0.0,bot,2,0.8099155545235683,9169.2,445.5,0.0,bot,2,2.2967868880372686,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,6
0,1.1871216747163618,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.04124956576231,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.7987232176757181,9169.2,445.5,0.0,bot,2,0.7987232176757181,9169.2,445.5,0.0,bot,2,2.3059464735718223,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,7
0,1.2147945677636813,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.15665763082744,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8313397388656102,9169.2,445.5,0.0,bot,2,0.8313397388656102,9169.2,445.5,0.0,bot,2,2.362534671557638,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,8
0,1.2411857837876272,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.268098813699236,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8629650595931009,9169.2,445.5,0.0,bot,1,0.8629650595931009,9169.2,445.5,0.0,bot,1,2.417243294519914,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses,9
